Recency,Frequency,Monetary,LIFESTAGE,PREMIUM_CUSTOMER
207,1,1.9,OLDER SINGLES/COUPLES,Premium
234,1,7.4,OLDER SINGLES/COUPLES,Budget
54,1,1.9,MIDAGE SINGLES/COUPLES,Mainstream
107,1,1.5,RETIREES,Mainstream
138,1,5.8,OLDER SINGLES/COUPLES,Premium
15,1,2.7,YOUNG FAMILIES,Budget
77,2,5.9,RETIREES,Mainstream
56,1,2.1,OLDER FAMILIES,Budget
208,1,2.6,MIDAGE SINGLES/COUPLES,Premium
264,1,8.8,RETIREES,Mainstream
117,2,7.6,YOUNG SINGLES/COUPLES,Mainstream
208,1,4.4,OLDER FAMILIES,Premium
216,1,2.6,OLDER FAMILIES,Budget
20,3,7.0,YOUNG SINGLES/COUPLES,Premium
231,1,5.4,NEW FAMILIES,Premium
35,3,9.8,YOUNG SINGLES/COUPLES,Budget
22,1,2.6,RETIREES,Budget
99,2,13.2,OLDER SINGLES/COUPLES,Budget
195,1,3.7,RETIREES,Premium
50,1,2.1,OLDER SINGLES/COUPLES,Mainstream
105,2,9.600000000000001,YOUNG SINGLES/COUPLES,Mainstream
209,1,3.7,YOUNG SINGLES/COUPLES,Mainstream
51,2,8.4,YOUNG SINGLES/COUPLES,Mainstream
28,2,6.5,YOUNG SINGLES/COUPLES,Mainstream
20,1,8.8,YOUNG SINGLES/COUPLES,Premium
71,2,8.8,NEW FAMILIES,Budget
49,1,10.2,OLDER FAMILIES,Mainstream
167,1,2.6,RETIREES,Mainstream
156,1,6.0,OLDER FAMILIES,Mainstream
97,4,11.1,RETIREES,Mainstream
43,2,14.2,OLDER SINGLES/COUPLES,Budget
160,1,4.2,RETIREES,Mainstream
96,3,16.3,YOUNG SINGLES/COUPLES,Mainstream
193,1,1.9,YOUNG SINGLES/COUPLES,Premium
103,2,10.4,YOUNG SINGLES/COUPLES,Budget
108,2,8.4,YOUNG SINGLES/COUPLES,Budget
125,1,3.8,MIDAGE SINGLES/COUPLES,Budget
127,2,3.5999999999999996,NEW FAMILIES,Budget
234,1,5.4,YOUNG FAMILIES,Budget
244,2,9.2,RETIREES,Mainstream
55,2,5.4,RETIREES,Budget
19,2,8.4,YOUNG SINGLES/COUPLES,Budget
206,1,10.8,YOUNG FAMILIES,Premium
150,1,1.8,RETIREES,Mainstream
198,1,3.0,OLDER SINGLES/COUPLES,Mainstream
47,2,11.100000000000001,YOUNG FAMILIES,Premium
218,1,11.4,OLDER FAMILIES,Mainstream
30,2,7.1,RETIREES,Premium
46,3,13.0,NEW FAMILIES,Mainstream
232,1,2.7,MIDAGE SINGLES/COUPLES,Premium
255,1,2.7,YOUNG SINGLES/COUPLES,Mainstream
88,1,4.4,OLDER SINGLES/COUPLES,Premium
59,2,6.8,NEW FAMILIES,Mainstream
245,1,2.1,OLDER FAMILIES,Mainstream
104,2,5.1,OLDER SINGLES/COUPLES,Mainstream
3,3,12.5,MIDAGE SINGLES/COUPLES,Mainstream
190,1,1.9,YOUNG SINGLES/COUPLES,Budget
172,1,4.6,OLDER FAMILIES,Budget
203,2,7.3,MIDAGE SINGLES/COUPLES,Mainstream
54,4,25.4,YOUNG SINGLES/COUPLES,Premium
1,1,5.9,RETIREES,Mainstream
78,3,21.5,YOUNG FAMILIES,Mainstream
182,1,7.8,MIDAGE SINGLES/COUPLES,Mainstream
174,1,3.7,OLDER SINGLES/COUPLES,Premium
1,1,3.7,OLDER FAMILIES,Mainstream
41,2,6.4,OLDER SINGLES/COUPLES,Premium
26,2,8.5,RETIREES,Mainstream
102,1,1.7,OLDER SINGLES/COUPLES,Budget
259,1,3.8,YOUNG SINGLES/COUPLES,Mainstream
87,2,7.1000000000000005,RETIREES,Premium
21,1,2.9,OLDER FAMILIES,Budget
56,2,12.799999999999999,RETIREES,Budget
0,2,8.2,YOUNG FAMILIES,Mainstream
248,1,3.9,MIDAGE SINGLES/COUPLES,Mainstream
243,1,6.5,YOUNG FAMILIES,Premium
73,1,4.2,RETIREES,Premium
19,3,13.5,YOUNG SINGLES/COUPLES,Budget
81,1,3.8,OLDER SINGLES/COUPLES,Mainstream
56,1,3.7,YOUNG SINGLES/COUPLES,Mainstream
121,2,7.3999999999999995,RETIREES,Budget
166,1,7.4,YOUNG SINGLES/COUPLES,Mainstream
57,1,4.3,RETIREES,Mainstream
131,1,3.3,OLDER SINGLES/COUPLES,Premium
120,3,12.6,NEW FAMILIES,Mainstream
156,2,11.4,OLDER SINGLES/COUPLES,Budget
11,1,2.7,OLDER FAMILIES,Budget
226,1,2.7,YOUNG SINGLES/COUPLES,Budget
244,1,1.9,OLDER FAMILIES,Budget
235,1,3.0,YOUNG FAMILIES,Mainstream
71,1,5.9,YOUNG SINGLES/COUPLES,Mainstream
28,2,8.3,YOUNG SINGLES/COUPLES,Mainstream
187,1,9.2,RETIREES,Mainstream
140,3,10.0,OLDER FAMILIES,Budget
101,1,3.7,RETIREES,Budget
167,4,10.399999999999999,YOUNG SINGLES/COUPLES,Mainstream
220,1,2.1,RETIREES,Premium
269,1,10.8,OLDER SINGLES/COUPLES,Budget
233,1,3.0,RETIREES,Budget
35,2,7.699999999999999,YOUNG FAMILIES,Mainstream
64,1,6.6,YOUNG SINGLES/COUPLES,Mainstream
36,2,11.4,YOUNG SINGLES/COUPLES,Budget
22,1,4.4,RETIREES,Budget
21,2,5.9,MIDAGE SINGLES/COUPLES,Budget
205,1,5.4,YOUNG SINGLES/COUPLES,Mainstream
137,1,2.6,OLDER SINGLES/COUPLES,Budget
241,1,3.0,OLDER SINGLES/COUPLES,Mainstream
123,1,2.8,YOUNG SINGLES/COUPLES,Budget
45,2,4.7,YOUNG SINGLES/COUPLES,Budget
175,1,4.4,OLDER FAMILIES,Premium
209,3,18.6,NEW FAMILIES,Mainstream
133,1,3.7,YOUNG SINGLES/COUPLES,Premium
258,1,3.4,YOUNG SINGLES/COUPLES,Budget
124,2,11.1,RETIREES,Mainstream
119,1,5.4,RETIREES,Mainstream
102,3,9.8,RETIREES,Premium
188,1,4.4,NEW FAMILIES,Budget
127,2,6.0,YOUNG SINGLES/COUPLES,Budget
241,1,2.7,RETIREES,Budget
52,1,5.2,RETIREES,Mainstream
40,1,2.7,YOUNG SINGLES/COUPLES,Mainstream
85,1,2.7,OLDER FAMILIES,Premium
241,1,1.9,YOUNG FAMILIES,Mainstream
99,2,6.7,OLDER SINGLES/COUPLES,Mainstream
40,2,7.4,YOUNG SINGLES/COUPLES,Mainstream
115,1,2.9,RETIREES,Mainstream
17,2,6.0,MIDAGE SINGLES/COUPLES,Budget
5,1,3.3,OLDER SINGLES/COUPLES,Budget
247,1,2.1,OLDER FAMILIES,Budget
156,1,2.6,YOUNG SINGLES/COUPLES,Budget
262,1,4.6,OLDER SINGLES/COUPLES,Mainstream
109,2,13.0,YOUNG SINGLES/COUPLES,Mainstream
42,1,5.2,OLDER SINGLES/COUPLES,Budget
254,1,2.7,MIDAGE SINGLES/COUPLES,Premium
80,2,12.899999999999999,OLDER SINGLES/COUPLES,Budget
118,1,3.3,OLDER FAMILIES,Mainstream
100,1,3.0,YOUNG SINGLES/COUPLES,Mainstream
38,2,9.5,YOUNG SINGLES/COUPLES,Mainstream
146,1,5.4,OLDER FAMILIES,Mainstream
177,2,6.3,RETIREES,Premium
28,2,7.6,RETIREES,Mainstream
270,1,1.9,MIDAGE SINGLES/COUPLES,Premium
3,2,6.8,NEW FAMILIES,Premium
108,1,1.5,NEW FAMILIES,Budget
190,1,3.1,OLDER FAMILIES,Budget
154,2,6.5,MIDAGE SINGLES/COUPLES,Premium
228,1,3.0,OLDER SINGLES/COUPLES,Premium
94,2,8.4,RETIREES,Mainstream
166,2,4.9,OLDER SINGLES/COUPLES,Premium
144,1,4.4,OLDER SINGLES/COUPLES,Premium
184,3,18.1,YOUNG SINGLES/COUPLES,Premium
134,2,12.8,YOUNG SINGLES/COUPLES,Mainstream
271,1,3.0,YOUNG SINGLES/COUPLES,Budget
176,2,9.899999999999999,YOUNG SINGLES/COUPLES,Budget
8,1,4.2,OLDER SINGLES/COUPLES,Mainstream
205,1,2.3,YOUNG FAMILIES,Premium
50,1,3.0,YOUNG FAMILIES,Budget
91,1,4.4,YOUNG SINGLES/COUPLES,Mainstream
52,1,2.7,MIDAGE SINGLES/COUPLES,Premium
140,1,1.7,YOUNG SINGLES/COUPLES,Mainstream
121,1,1.9,MIDAGE SINGLES/COUPLES,Premium
164,2,7.300000000000001,RETIREES,Premium
209,2,7.1000000000000005,YOUNG SINGLES/COUPLES,Mainstream
142,1,2.7,YOUNG FAMILIES,Budget
227,1,1.9,OLDER SINGLES/COUPLES,Mainstream
157,1,3.7,OLDER SINGLES/COUPLES,Premium
92,1,5.4,MIDAGE SINGLES/COUPLES,Mainstream
85,1,4.3,YOUNG SINGLES/COUPLES,Mainstream
96,1,6.0,RETIREES,Budget
26,4,14.5,MIDAGE SINGLES/COUPLES,Budget
244,1,5.4,OLDER FAMILIES,Mainstream
167,1,3.0,OLDER FAMILIES,Budget
166,2,6.9,RETIREES,Mainstream
29,1,3.3,YOUNG SINGLES/COUPLES,Mainstream
209,2,9.600000000000001,YOUNG SINGLES/COUPLES,Mainstream
149,1,4.6,MIDAGE SINGLES/COUPLES,Premium
143,3,17.5,YOUNG FAMILIES,Budget
14,1,3.3,OLDER FAMILIES,Mainstream
43,2,6.5,YOUNG SINGLES/COUPLES,Mainstream
249,1,4.6,YOUNG SINGLES/COUPLES,Mainstream
186,1,8.8,YOUNG SINGLES/COUPLES,Budget
184,1,4.4,YOUNG FAMILIES,Premium
179,1,4.6,RETIREES,Budget
142,2,10.700000000000001,YOUNG SINGLES/COUPLES,Mainstream
214,1,3.8,YOUNG FAMILIES,Premium
117,1,1.9,NEW FAMILIES,Premium
149,1,3.6,NEW FAMILIES,Mainstream
23,1,4.4,YOUNG FAMILIES,Premium
265,1,2.9,RETIREES,Mainstream
77,1,3.0,YOUNG FAMILIES,Budget
49,2,5.6,YOUNG SINGLES/COUPLES,Mainstream
64,2,8.0,OLDER FAMILIES,Budget
142,2,12.5,YOUNG SINGLES/COUPLES,Mainstream
40,1,5.7,MIDAGE SINGLES/COUPLES,Mainstream
79,2,13.100000000000001,OLDER FAMILIES,Budget
13,1,4.3,OLDER SINGLES/COUPLES,Mainstream
119,2,9.600000000000001,YOUNG SINGLES/COUPLES,Mainstream
0,2,13.200000000000001,OLDER FAMILIES,Budget
205,1,3.0,YOUNG SINGLES/COUPLES,Budget
47,1,4.6,OLDER FAMILIES,Budget
4,2,16.4,YOUNG SINGLES/COUPLES,Premium
264,1,3.8,YOUNG SINGLES/COUPLES,Premium
48,1,5.1,RETIREES,Mainstream
37,2,14.200000000000001,OLDER FAMILIES,Budget
6,1,6.0,YOUNG SINGLES/COUPLES,Mainstream
210,1,2.6,OLDER SINGLES/COUPLES,Mainstream
20,1,3.7,YOUNG SINGLES/COUPLES,Budget
58,2,8.4,OLDER FAMILIES,Mainstream
245,1,4.4,YOUNG FAMILIES,Mainstream
52,2,7.2,RETIREES,Mainstream
77,1,1.7,OLDER FAMILIES,Budget
19,1,5.7,MIDAGE SINGLES/COUPLES,Budget
45,2,8.8,OLDER FAMILIES,Premium
48,1,6.5,YOUNG SINGLES/COUPLES,Budget
21,1,2.1,OLDER SINGLES/COUPLES,Premium
166,2,6.699999999999999,YOUNG SINGLES/COUPLES,Mainstream
111,1,3.7,YOUNG SINGLES/COUPLES,Budget
120,1,3.0,MIDAGE SINGLES/COUPLES,Premium
107,1,2.6,OLDER FAMILIES,Budget
76,2,9.7,YOUNG SINGLES/COUPLES,Budget
175,1,4.6,OLDER SINGLES/COUPLES,Budget
40,1,4.2,RETIREES,Budget
136,2,13.7,YOUNG SINGLES/COUPLES,Mainstream
103,1,1.7,YOUNG SINGLES/COUPLES,Budget
86,1,2.6,MIDAGE SINGLES/COUPLES,Budget
33,3,8.5,RETIREES,Mainstream
224,2,6.4,YOUNG FAMILIES,Mainstream
265,1,1.9,OLDER FAMILIES,Budget
9,2,7.4,NEW FAMILIES,Mainstream
102,1,3.7,YOUNG SINGLES/COUPLES,Budget
161,1,3.0,RETIREES,Mainstream
183,1,4.2,YOUNG FAMILIES,Budget
6,2,9.600000000000001,OLDER FAMILIES,Mainstream
207,1,3.0,YOUNG SINGLES/COUPLES,Budget
177,1,3.8,NEW FAMILIES,Premium
108,1,2.6,RETIREES,Mainstream
105,1,1.8,OLDER FAMILIES,Budget
5,1,3.7,RETIREES,Premium
196,1,1.7,MIDAGE SINGLES/COUPLES,Premium
55,1,4.6,RETIREES,Mainstream
101,1,5.4,YOUNG SINGLES/COUPLES,Budget
134,2,8.0,RETIREES,Premium
87,2,8.100000000000001,YOUNG SINGLES/COUPLES,Mainstream
58,2,13.0,RETIREES,Budget
141,1,6.5,YOUNG SINGLES/COUPLES,Mainstream
175,1,2.6,YOUNG SINGLES/COUPLES,Premium
100,3,9.2,YOUNG SINGLES/COUPLES,Budget
161,1,2.7,YOUNG SINGLES/COUPLES,Mainstream
176,1,1.9,OLDER SINGLES/COUPLES,Premium
168,2,6.3999999999999995,YOUNG SINGLES/COUPLES,Premium
9,2,6.300000000000001,OLDER FAMILIES,Budget
184,1,10.2,RETIREES,Premium
256,1,2.6,YOUNG SINGLES/COUPLES,Budget
71,2,7.300000000000001,NEW FAMILIES,Mainstream
52,1,3.0,YOUNG SINGLES/COUPLES,Premium
2,4,17.7,YOUNG FAMILIES,Mainstream
99,2,11.200000000000001,OLDER SINGLES/COUPLES,Mainstream
257,1,5.7,YOUNG SINGLES/COUPLES,Mainstream
5,1,4.2,YOUNG FAMILIES,Budget
174,1,3.7,RETIREES,Budget
76,1,3.8,MIDAGE SINGLES/COUPLES,Mainstream
162,2,12.2,YOUNG SINGLES/COUPLES,Mainstream
80,2,4.7,YOUNG SINGLES/COUPLES,Budget
122,1,3.0,YOUNG SINGLES/COUPLES,Budget
87,1,1.9,RETIREES,Mainstream
6,1,10.8,YOUNG SINGLES/COUPLES,Budget
91,1,3.7,RETIREES,Mainstream
108,1,5.7,OLDER FAMILIES,Mainstream
216,1,4.3,RETIREES,Mainstream
155,4,14.7,YOUNG SINGLES/COUPLES,Mainstream
22,2,6.3,RETIREES,Budget
111,1,3.8,OLDER SINGLES/COUPLES,Budget
9,2,10.2,OLDER SINGLES/COUPLES,Budget
3,2,8.4,YOUNG SINGLES/COUPLES,Premium
70,2,5.6,OLDER SINGLES/COUPLES,Mainstream
55,1,9.2,OLDER SINGLES/COUPLES,Premium
133,2,15.4,RETIREES,Budget
229,1,4.4,OLDER SINGLES/COUPLES,Mainstream
241,1,3.9,YOUNG SINGLES/COUPLES,Mainstream
3,1,3.0,OLDER SINGLES/COUPLES,Mainstream
222,1,5.1,YOUNG SINGLES/COUPLES,Budget
130,1,3.9,YOUNG SINGLES/COUPLES,Premium
155,1,2.9,YOUNG SINGLES/COUPLES,Mainstream
13,4,12.200000000000001,YOUNG SINGLES/COUPLES,Premium
92,2,6.0,YOUNG FAMILIES,Mainstream
265,1,5.1,RETIREES,Mainstream
113,1,2.9,YOUNG SINGLES/COUPLES,Budget
272,1,2.9,OLDER FAMILIES,Mainstream
22,1,1.9,YOUNG SINGLES/COUPLES,Budget
179,1,3.7,OLDER SINGLES/COUPLES,Premium
53,1,3.7,OLDER SINGLES/COUPLES,Budget
131,1,1.8,RETIREES,Mainstream
100,1,3.0,OLDER FAMILIES,Budget
130,2,10.3,YOUNG SINGLES/COUPLES,Mainstream
180,2,6.0,OLDER FAMILIES,Budget
138,1,2.1,OLDER SINGLES/COUPLES,Premium
261,1,3.0,MIDAGE SINGLES/COUPLES,Premium
23,1,2.6,YOUNG SINGLES/COUPLES,Budget
224,2,4.5,OLDER SINGLES/COUPLES,Budget
148,1,3.3,OLDER FAMILIES,Premium
2,1,3.8,OLDER SINGLES/COUPLES,Premium
188,1,3.0,RETIREES,Budget
26,1,4.6,RETIREES,Budget
123,2,7.1,YOUNG SINGLES/COUPLES,Budget
3,3,9.2,OLDER SINGLES/COUPLES,Mainstream
25,2,6.300000000000001,YOUNG SINGLES/COUPLES,Budget
24,1,4.6,YOUNG SINGLES/COUPLES,Mainstream
0,3,8.8,OLDER FAMILIES,Premium
137,1,9.2,YOUNG SINGLES/COUPLES,Mainstream
96,2,11.8,OLDER SINGLES/COUPLES,Premium
75,1,1.9,OLDER SINGLES/COUPLES,Mainstream
79,2,6.800000000000001,OLDER SINGLES/COUPLES,Mainstream
107,1,3.0,YOUNG SINGLES/COUPLES,Premium
193,1,5.4,YOUNG SINGLES/COUPLES,Mainstream
263,1,1.9,OLDER FAMILIES,Premium
12,1,3.0,OLDER FAMILIES,Budget
61,1,9.2,OLDER SINGLES/COUPLES,Mainstream
146,2,5.9,YOUNG SINGLES/COUPLES,Mainstream
224,1,2.7,OLDER SINGLES/COUPLES,Mainstream
60,1,3.0,YOUNG FAMILIES,Budget
4,2,5.300000000000001,YOUNG SINGLES/COUPLES,Mainstream
63,1,2.1,OLDER SINGLES/COUPLES,Premium
14,1,3.0,OLDER FAMILIES,Mainstream
87,2,7.800000000000001,YOUNG SINGLES/COUPLES,Mainstream
82,1,4.6,YOUNG FAMILIES,Budget
42,2,7.7,OLDER FAMILIES,Mainstream
20,2,9.9,YOUNG SINGLES/COUPLES,Mainstream
236,1,5.4,OLDER FAMILIES,Budget
253,1,1.9,MIDAGE SINGLES/COUPLES,Premium
215,1,1.7,YOUNG FAMILIES,Budget
2,2,5.800000000000001,MIDAGE SINGLES/COUPLES,Mainstream
206,1,3.0,OLDER SINGLES/COUPLES,Mainstream
21,4,11.2,YOUNG SINGLES/COUPLES,Budget
188,1,3.3,MIDAGE SINGLES/COUPLES,Budget
76,2,8.299999999999999,RETIREES,Mainstream
109,2,5.300000000000001,YOUNG SINGLES/COUPLES,Mainstream
271,1,2.9,OLDER SINGLES/COUPLES,Budget
196,1,3.7,OLDER SINGLES/COUPLES,Mainstream
42,2,7.199999999999999,OLDER SINGLES/COUPLES,Premium
208,1,5.7,RETIREES,Mainstream
69,1,3.0,YOUNG SINGLES/COUPLES,Budget
93,1,3.7,OLDER SINGLES/COUPLES,Budget
60,1,3.9,OLDER FAMILIES,Budget
4,1,3.8,MIDAGE SINGLES/COUPLES,Mainstream
158,1,5.1,NEW FAMILIES,Premium
94,1,4.6,YOUNG SINGLES/COUPLES,Mainstream
147,2,7.199999999999999,MIDAGE SINGLES/COUPLES,Mainstream
158,1,3.0,OLDER FAMILIES,Budget
90,1,5.7,RETIREES,Mainstream
2,3,14.100000000000001,RETIREES,Premium
41,1,4.4,OLDER SINGLES/COUPLES,Budget
249,1,2.6,NEW FAMILIES,Mainstream
34,1,3.0,OLDER SINGLES/COUPLES,Budget
175,1,4.2,YOUNG SINGLES/COUPLES,Mainstream
194,2,8.8,RETIREES,Mainstream
72,1,3.3,OLDER SINGLES/COUPLES,Budget
197,2,4.9,OLDER SINGLES/COUPLES,Budget
151,3,17.2,YOUNG SINGLES/COUPLES,Budget
220,1,1.7,OLDER FAMILIES,Budget
240,1,3.7,YOUNG SINGLES/COUPLES,Premium
36,3,10.8,YOUNG SINGLES/COUPLES,Mainstream
34,1,6.5,YOUNG SINGLES/COUPLES,Mainstream
136,1,4.6,OLDER SINGLES/COUPLES,Budget
106,2,4.3,MIDAGE SINGLES/COUPLES,Budget
39,3,11.8,OLDER SINGLES/COUPLES,Premium
71,1,4.4,OLDER FAMILIES,Budget
75,1,3.0,YOUNG FAMILIES,Premium
47,1,1.9,YOUNG FAMILIES,Mainstream
8,1,9.2,YOUNG SINGLES/COUPLES,Premium
242,1,4.2,RETIREES,Budget
0,3,6.300000000000001,YOUNG SINGLES/COUPLES,Budget
131,1,1.5,YOUNG SINGLES/COUPLES,Budget
152,2,6.6,YOUNG SINGLES/COUPLES,Mainstream
6,2,9.4,YOUNG FAMILIES,Mainstream
61,1,4.2,YOUNG SINGLES/COUPLES,Mainstream
71,1,4.4,RETIREES,Premium
266,1,2.7,OLDER SINGLES/COUPLES,Premium
171,1,2.9,OLDER SINGLES/COUPLES,Premium
272,1,9.2,RETIREES,Budget
238,1,4.6,RETIREES,Mainstream
269,1,3.7,YOUNG SINGLES/COUPLES,Mainstream
268,1,5.7,MIDAGE SINGLES/COUPLES,Mainstream
83,1,3.0,YOUNG SINGLES/COUPLES,Premium
108,1,1.5,RETIREES,Mainstream
82,2,7.4,RETIREES,Mainstream
137,1,1.9,RETIREES,Mainstream
149,1,2.7,OLDER SINGLES/COUPLES,Budget
35,1,5.4,RETIREES,Premium
147,1,2.6,OLDER SINGLES/COUPLES,Budget
142,1,2.6,OLDER FAMILIES,Budget
68,5,19.299999999999997,NEW FAMILIES,Mainstream
157,1,3.0,MIDAGE SINGLES/COUPLES,Premium
164,2,6.0,YOUNG SINGLES/COUPLES,Premium
145,2,14.200000000000001,RETIREES,Budget
182,1,8.8,YOUNG SINGLES/COUPLES,Premium
108,1,2.9,YOUNG SINGLES/COUPLES,Budget
175,1,4.6,YOUNG SINGLES/COUPLES,Mainstream
5,1,5.7,RETIREES,Budget
70,1,2.8,OLDER SINGLES/COUPLES,Premium
69,2,6.5,OLDER SINGLES/COUPLES,Mainstream
162,1,3.9,OLDER SINGLES/COUPLES,Premium
72,1,3.0,OLDER FAMILIES,Premium
49,2,9.5,OLDER FAMILIES,Premium
237,1,3.0,YOUNG SINGLES/COUPLES,Budget
92,1,3.3,OLDER SINGLES/COUPLES,Budget
8,1,5.1,YOUNG SINGLES/COUPLES,Mainstream
78,2,8.399999999999999,RETIREES,Mainstream
213,2,13.799999999999999,RETIREES,Budget
27,2,7.5,RETIREES,Premium
54,2,6.8,YOUNG FAMILIES,Mainstream
80,1,1.5,OLDER FAMILIES,Mainstream
210,1,4.6,OLDER SINGLES/COUPLES,Premium
65,1,2.1,YOUNG FAMILIES,Budget
119,1,2.9,OLDER FAMILIES,Mainstream
258,1,2.1,RETIREES,Mainstream
113,1,4.2,OLDER SINGLES/COUPLES,Mainstream
209,1,2.6,MIDAGE SINGLES/COUPLES,Mainstream
26,1,5.9,YOUNG SINGLES/COUPLES,Mainstream
43,1,4.4,YOUNG FAMILIES,Budget
171,1,4.6,NEW FAMILIES,Budget
225,1,15.0,MIDAGE SINGLES/COUPLES,Budget
159,2,5.0,RETIREES,Mainstream
41,2,9.899999999999999,OLDER SINGLES/COUPLES,Budget
19,1,5.7,YOUNG SINGLES/COUPLES,Budget
266,1,3.8,OLDER SINGLES/COUPLES,Premium
40,3,12.5,OLDER FAMILIES,Mainstream
144,1,2.7,OLDER SINGLES/COUPLES,Budget
237,1,3.7,MIDAGE SINGLES/COUPLES,Premium
137,1,5.7,YOUNG FAMILIES,Budget
11,2,8.399999999999999,MIDAGE SINGLES/COUPLES,Mainstream
86,2,6.199999999999999,YOUNG FAMILIES,Premium
80,1,2.1,MIDAGE SINGLES/COUPLES,Budget
73,1,4.2,NEW FAMILIES,Mainstream
25,1,3.3,MIDAGE SINGLES/COUPLES,Budget
167,1,3.0,RETIREES,Mainstream
249,1,3.0,YOUNG FAMILIES,Premium
0,2,11.799999999999999,RETIREES,Budget
174,1,5.4,RETIREES,Mainstream
174,1,3.7,YOUNG FAMILIES,Budget
202,2,7.0,OLDER SINGLES/COUPLES,Mainstream
146,3,7.5,YOUNG FAMILIES,Budget
25,3,11.7,OLDER SINGLES/COUPLES,Premium
81,1,3.0,OLDER SINGLES/COUPLES,Budget
176,1,3.0,RETIREES,Mainstream
156,1,3.0,NEW FAMILIES,Budget
248,1,6.6,RETIREES,Budget
77,1,7.6,OLDER SINGLES/COUPLES,Mainstream
167,1,4.4,YOUNG FAMILIES,Budget
57,3,10.2,OLDER SINGLES/COUPLES,Mainstream
224,1,13.8,MIDAGE SINGLES/COUPLES,Budget
73,1,1.7,OLDER SINGLES/COUPLES,Mainstream
113,2,15.2,YOUNG FAMILIES,Budget
144,1,2.1,OLDER FAMILIES,Mainstream
187,1,6.6,YOUNG SINGLES/COUPLES,Budget
70,1,2.7,OLDER SINGLES/COUPLES,Budget
227,2,16.0,RETIREES,Mainstream
0,2,9.5,MIDAGE SINGLES/COUPLES,Budget
212,1,3.0,RETIREES,Premium
